2024-06-16 20:16:44.986 CST,,,95109,,666ed7ac.17385,1,,2024-06-16 20:16:44 CST,,0,LOG,00000,"ending log output to stderr",,"Future log output will go to log destination ""csvlog"".",,,,,,,"","postmaster"
2024-06-16 20:16:44.986 CST,,,95109,,666ed7ac.17385,2,,2024-06-16 20:16:44 CST,,0,LOG,00000,"starting PostgreSQL 13.9 on x86_64-pc-linux-gnu, compiled by gcc (GCC) 8.3.1 20190311 (Red Hat 8.3.1-3), 64-bit",,,,,,,,,"","postmaster"
2024-06-16 20:16:44.988 CST,,,95109,,666ed7ac.17385,3,,2024-06-16 20:16:44 CST,,0,LOG,00000,"listening on IPv6 address ""::1"", port 5432",,,,,,,,,"","postmaster"
2024-06-16 20:16:44.988 CST,,,95109,,666ed7ac.17385,4,,2024-06-16 20:16:44 CST,,0,LOG,00000,"listening on IPv4 address ""127.0.0.1"", port 5432",,,,,,,,,"","postmaster"
2024-06-16 20:16:44.991 CST,,,95109,,666ed7ac.17385,5,,2024-06-16 20:16:44 CST,,0,LOG,00000,"listening on Unix socket ""/tmp/.s.PGSQL.5432""",,,,,,,,,"","postmaster"
2024-06-16 20:16:44.995 CST,,,95111,,666ed7ac.17387,1,,2024-06-16 20:16:44 CST,,0,LOG,00000,"database system was shut down at 2024-06-16 20:16:44 CST",,,,,,,,,"","startup"
2024-06-16 20:16:45.001 CST,,,95109,,666ed7ac.17385,6,,2024-06-16 20:16:44 CST,,0,LOG,00000,"database system is ready to accept connections",,,,,,,,,"","postmaster"
2024-06-16 20:16:48.262 CST,"raingage","benchmark",95163,"127.0.0.1:50094",666ed7b0.173bb,1,"SELECT",2024-06-16 20:16:48 CST,3/2,0,LOG,00000,"execute <unnamed>: SELECT cfg_value FROM bmsql_config  WHERE cfg_name = $1","parameters: $1 = 'warehouses'",,,,,,,,"","client backend"
2024-06-16 20:16:48.307 CST,"raingage","benchmark",95163,"127.0.0.1:50094",666ed7b0.173bb,2,"SELECT",2024-06-16 20:16:48 CST,3/3,0,LOG,00000,"execute <unnamed>: SELECT cfg_value FROM bmsql_config  WHERE cfg_name = $1","parameters: $1 = 'nURandCLast'",,,,,,,,"","client backend"
2024-06-16 20:16:48.447 CST,"raingage","benchmark",95171,"127.0.0.1:50110",666ed7b0.173c3,1,"BEGIN",2024-06-16 20:16:48 CST,11/2,0,LOG,00000,"execute <unnamed>: BEGIN",,,,,,,,,"","client backend"
2024-06-16 20:16:48.449 CST,"raingage","benchmark",95169,"127.0.0.1:50106",666ed7b0.173c1,1,"BEGIN",2024-06-16 20:16:48 CST,9/2,0,LOG,00000,"execute <unnamed>: BEGIN",,,,,,,,,"","client backend"
2024-06-16 20:16:48.450 CST,"raingage","benchmark",95168,"127.0.0.1:50104",666ed7b0.173c0,1,"BEGIN",2024-06-16 20:16:48 CST,8/2,0,LOG,00000,"execute <unnamed>: BEGIN",,,,,,,,,"","client backend"
