epoch,accuracy,loss
0,0.07619047909975052,0.2451125830411911
1,0.07056277245283127,0.15109649300575256
2,0.21688312292099,0.12019332498311996
3,0.30519482493400574,0.10631203651428223
4,0.3571428656578064,0.09407554566860199
5,0.39047619700431824,0.08498688787221909
6,0.440692663192749,0.07796439528465271
7,0.5350649356842041,0.06825486570596695
8,0.568831205368042,0.059076689183712006
9,0.6510822772979736,0.04950255528092384
10,0.6761904954910278,0.04270796850323677
11,0.7147186398506165,0.03576584532856941
12,0.7424242496490479,0.029380129650235176
13,0.7502164840698242,0.02520543895661831
14,0.7588744759559631,0.021806880831718445
15,0.7948052287101746,0.019643239676952362
16,0.8264069557189941,0.01766485720872879
17,0.8432900905609131,0.01600118912756443
18,0.8454545736312866,0.01518118754029274
19,0.846320390701294,0.0145794078707695
20,0.8471861481666565,0.013953708112239838
21,0.8350649476051331,0.013661504723131657
22,0.8398268818855286,0.012918745167553425
23,0.8320346474647522,0.013215512968599796
24,0.830735981464386,0.01246552262455225
25,0.8246753215789795,0.012365277856588364
26,0.8203463554382324,0.01245804876089096
27,0.8264069557189941,0.011826300993561745
28,0.8329004645347595,0.011290470138192177
29,0.8259740471839905,0.011684159748256207
30,0.828138530254364,0.011125558987259865
31,0.8372294306755066,0.010953969322144985
32,0.8389610648155212,0.010835138149559498
33,0.8406926393508911,0.01052455697208643
34,0.8350649476051331,0.010315105319023132
35,0.8367965817451477,0.01031780056655407
36,0.843722939491272,0.010157071985304356
37,0.8454545736312866,0.01017015054821968
38,0.8471861481666565,0.00987469032406807
39,0.8480519652366638,0.009761315770447254
40,0.8502164483070374,0.00927569717168808
41,0.8458874821662903,0.009516274556517601
42,0.8502164483070374,0.009407393634319305
43,0.8493506908416748,0.00932400394231081
44,0.8471861481666565,0.009179933927953243
45,0.8502164483070374,0.008984293788671494
46,0.8445887565612793,0.009414189495146275
47,0.8467532396316528,0.008768122643232346
48,0.8480519652366638,0.008685901761054993
49,0.8493506908416748,0.008778203278779984
50,0.8480519652366638,0.00894972775131464
51,0.8467532396316528,0.0088066840544343
52,0.8489177823066711,0.00833855476230383
53,0.8523809909820557,0.00854503083974123
54,0.8532467484474182,0.00840088352560997
55,0.8458874821662903,0.008419259451329708
56,0.8549783825874329,0.008260398171842098
57,0.851948082447052,0.008163221180438995
58,0.845021665096283,0.008079931139945984
59,0.8502164483070374,0.008045049384236336
60,0.8549783825874329,0.008011836558580399
61,0.8558441996574402,0.00800403580069542
62,0.8523809909820557,0.007779669016599655
63,0.851948082447052,0.007865341380238533
64,0.850649356842041,0.007801915518939495
65,0.8471861481666565,0.007712780963629484
66,0.8489177823066711,0.007635239511728287
67,0.8532467484474182,0.007699194829910994
68,0.8528138995170593,0.0075202626176178455
69,0.8575757741928101,0.0075913709588348866
70,0.8515151739120483,0.007468637079000473
71,0.8528138995170593,0.007433880120515823
72,0.8541125655174255,0.007270059548318386
73,0.8523809909820557,0.007298958953469992
74,0.8571428656578064,0.007402594201266766
75,0.8549783825874329,0.007256843149662018
76,0.8545454740524292,0.0072877309285104275
77,0.8532467484474182,0.007309114094823599
78,0.8515151739120483,0.007203927729278803
79,0.8584415912628174,0.007200629450380802
80,0.8502164483070374,0.0070901657454669476
81,0.8523809909820557,0.007098575588315725
82,0.8541125655174255,0.007014743052423
83,0.8562771081924438,0.0070111434906721115
84,0.8567099571228027,0.007019964046776295
85,0.8497835993766785,0.006974480114877224
86,0.8476190567016602,0.006931523326784372
87,0.8489177823066711,0.006864386610686779
88,0.8528138995170593,0.006848832592368126
89,0.8562771081924438,0.006861048750579357
90,0.8562771081924438,0.006781121250241995
91,0.8549783825874329,0.006818381138145924
92,0.8593074083328247,0.006752251647412777
93,0.8549783825874329,0.006749897263944149
94,0.8545454740524292,0.006676909048110247
95,0.8541125655174255,0.006602706387639046
96,0.8545454740524292,0.006644914858043194
97,0.8606060743331909,0.006531235761940479
98,0.8619047999382019,0.006540344562381506
99,0.8584415912628174,0.00655358424410224
