txn_num,thread_num,chain_possibility,chain_percentage,false_chain_possibility,bool_chain,bool_confidence,avg_time,avg_timeout,avg_commit,avg_throughput
400,25,0.8,0.2,0.2,True,False,6.338200283050537,179.0,221.0,34.86794202306811
400,25,0.8,0.2,0.2,True,True,6.546565294265747,152.6,247.4,37.790809207494206
400,30,0.8,0.2,0.2,False,True,5.691651964187622,364.0,36.0,6.325052941837481
400,30,0.8,0.2,0.2,True,False,5.336373329162598,178.0,222.0,41.60128729877245
400,30,0.8,0.2,0.2,True,True,5.539966678619384,151.6,248.4,44.8378148118941
400,35,0.8,0.2,0.2,False,True,4.869844388961792,371.0,29.0,5.955015742542555
400,35,0.8,0.2,0.2,True,False,4.649617671966553,178.0,222.0,47.74586120026192
400,35,0.8,0.2,0.2,True,True,4.815920114517212,144.6,255.4,53.032441138323044
400,40,0.8,0.2,0.2,False,True,4.242542028427124,369.8,30.2,7.118373795155146
400,40,0.8,0.2,0.2,True,False,4.05432767868042,183.0,217.0,53.52305417766034
400,40,0.8,0.2,0.2,True,True,4.2167198181152346,151.6,248.4,58.90834836425732
400,5,0.8,0.2,0.8,False,True,33.19570360183716,349.4,50.6,1.524293643747308
400,5,0.8,0.2,0.8,True,False,30.854481315612794,175.0,225.0,7.292295653861693
400,5,0.8,0.2,0.8,True,True,33.70493535995483,108.6,291.4,8.645618123517163
400,10,0.8,0.2,0.8,False,True,16.465795516967773,362.8,37.2,2.259228833594218
400,10,0.8,0.2,0.8,True,False,15.37714638710022,182.0,218.0,14.176882661589191
400,10,0.8,0.2,0.8,True,True,16.440790367126464,128.2,271.8,16.53205192272672
400,15,0.8,0.2,0.8,False,True,11.202733469009399,362.0,38.0,3.392029285095555
400,15,0.8,0.2,0.8,True,False,10.433742952346801,178.0,222.0,21.27711991889419
400,15,0.8,0.2,0.8,True,True,11.10982894897461,127.4,272.6,24.536831417657414
400,20,0.8,0.2,0.8,False,True,8.412441682815551,367.8,32.2,3.8276639784352144
400,20,0.8,0.2,0.8,True,False,7.87128005027771,179.0,221.0,28.076754808413
400,20,0.8,0.2,0.8,True,True,8.433434915542602,120.6,279.4,33.13003572068518
400,25,0.8,0.2,0.8,False,True,6.705434370040893,377.4,22.6,3.370400596413887
400,25,0.8,0.2,0.8,True,False,6.390737009048462,178.0,222.0,34.737777455976754
400,25,0.8,0.2,0.8,True,True,6.82588758468628,117.4,282.6,41.401209219150715
400,30,0.8,0.2,0.8,False,True,5.525506782531738,379.0,21.0,3.8005563700309106
400,30,0.8,0.2,0.8,True,False,5.332746076583862,177.0,223.0,41.81710450816233
400,30,0.8,0.2,0.8,True,True,5.796619319915772,110.2,289.8,49.994657921440144
400,35,0.8,0.2,0.8,False,True,4.883082437515259,377.0,23.0,4.7101396083952825
400,35,0.8,0.2,0.8,True,False,4.644059133529663,179.0,221.0,47.58768001130759
400,35,0.8,0.2,0.8,True,True,4.880727672576905,129.6,270.4,55.40157495762008
400,40,0.8,0.2,0.8,False,True,4.273399829864502,385.0,15.0,3.5100857858356798
400,40,0.8,0.2,0.8,True,False,4.110923337936401,177.0,223.0,54.245720892460476
400,40,0.8,0.2,0.8,True,True,4.343566513061523,121.0,279.0,64.23292912886683
